Land	Code	Wahlkreis-Name	Gemeinden am 31.12.2015 (Anzahl)	Fl�che am 31.12.2015 (km�)	Bev�lkerung am 31.12.2015 - Insgesamt (in 1000)	Bev�lkerung am 31.12.2015 - Deutsche (in 1000)	Bev�lkerung am 31.12.2015 - Ausl�nder (%)	Bev�lkerungsdichte am 31.12.2015 (Einwohner je km�)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Geburtensaldo (je 1000 Einwohner)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Wanderungssaldo (je 1000 Einwohner)	Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 18-24 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 25-34 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 35-59 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 60-74 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 75 und mehr (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - ohne Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - mit Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - R�misch-katholische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Evangelische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Sonstige, keine, ohne Angabe (%)	Zensus 2011, Wohnungen in Wohngeb�uden am 09.05.2011 - Eigent�merquote	Baut�tigkeit und Wohnungswesen - Fertiggestellte Wohnungen 2014 (je 1000 Einwohner)	Baut�tigkeit und Wohnungswesen - Bestand an Wohnungen am 31.12.2015 (je 1000 Einwohner)	Verf�gbares Einkommen der privaten Haushalte 2014 (� je Einwohner)	Bruttoinlandsprodukt 2014 (� je Einwohner)	Kraftfahrzeugbestand am 01.01.2016 (je 1000 Einwohner)	Absolventen/Abg�nger beruflicher Schulen 2015	Absolventen/Abg�nger allgemeinbildender Schulen 2015 - insgesamt ohne Externe (je 1000 Einwohner)	ohneHauptschule	Hauptschule	MittleremAbschluss	mitAbitur	Kindertagesbetreuung: Betreute Kinder am 01.03.2016 (je 1000 Einwohner)	Unternehmensregister 2014 - Unternehmen insgesamt (je 1000 Einwohner)	Unternehmensregister 2014 - Handwerksunternehmen (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - insgesamt (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Land- und Forstwirtschaft, Fischerei (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Produzierendes Gewerbe (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Handel, Gastgewerbe, Verkehr (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �ffentliche und private Dienstleister (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �brige Dienstleister und 'ohne Angabe' (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 -  insgesamt (je 1000 Einwohner)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - nicht erwerbsf�hige Hilfebed�rftige (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - Ausl�nder (%)	Arbeitslosenquote M�rz 2017 - insgesamt	Arbeitslosenquote M�rz 2017 - M�nner	Arbeitslosenquote M�rz 2017 - Frauen	Arbeitslosenquote M�rz 2017 - 15 bis unter 20 Jahre	Arbeitslosenquote M�rz 2017 - 55 bis unter 65 Jahre	Total	Total2	CDU	CDU2	SPD	SPD2	LINKE	LINKE2	GRUENE	GRUENE2	FDP	FDP2	AFD	AFD2	NDP	NDP2
Schleswig-Holstein	1	Flensburg � Schleswig	130	2128.1	282.8	266.7	5.7	132.9	-3.7	12.3	16.5	8.7	11.3	35	17.4	11.2	90	10	5.1	59.5	35.5	49.4	3.8	514.6	20265	28300	696.9	4.4	11.9	8.2	19.8	41.6	30.4	41.1	44	7.3	337.4	1.6	18.7	28.1	16.4	35.2	88.5	26.3	18.8	7.2	8.2	6.2	4.2	7.3	170318	170465	68120	58320	47711	40388	12144	14002	17911	22304	11147	18955	10583	11653		349
Schleswig-Holstein	2	Nordfriesland � Dithmarschen Nord	197	2777	232.3	219.7	5.4	83.6	-5	13.2	16.1	8	10.4	35.1	18.5	11.9	92	8	5.2	65	29.8	58.8	6	566.1	22159	30078	748.1	4	11.5	7.9	19.9	48.8	23.4	33.9	60.9	9.2	337.6	2.6	19.9	33.4	12.4	31.7	70.9	26.2	16.7	7.2	7.7	6.6	3.6	8.4	137897	138071	62256	52928	34685	31120	7102	8589	13026	15144	11105	18050	8117	9030		301
Schleswig-Holstein	3	Steinburg � Dithmarschen S�d	178	2000.5	220.8	209.8	5	110.4	-5.3	11.9	16.7	7.6	9.9	37	17.4	11.4	90.8	9.2	4.2	59.9	35.9	59.4	2.4	493	20896	29298	724.5	2.7	11.7	7.8	19.1	44.1	29	35	43.8	7.1	290.2	2.7	28.3	22.9	15.9	30.3	80.1	26	21.1	6.6	7.2	6	5.2	6.6	130883	130878	54812	47366	34219	29756	7176	8732	8791	12960	14440	17298	10006	11180		471
Schleswig-Holstein	4	Rendsburg-Eckernf�rde	163	2164.8	248.7	239.4	3.7	114.9	-3.4	10	17.3	7.2	9.4	37.2	17.9	11	91.5	8.5	4.9	58.3	36.8	58.7	5.5	492.2	22093	26659	733.3	2.4	9.4	7.4	18.2	43.6	30.9	37.1	41.6	6.9	276.1	2.4	24.4	23	15.5	34.7	59.4	28.1	23.8	5.1	5.5	4.7	3.2	5.6	156102	156267	66625	56585	45070	35766	8074	9962	13978	19337	10077	19071	10656	11578		307
Schleswig-Holstein	5	Kiel	3	143	268	242.9	9.4	1873.8	-0.1	11.9	14.6	10.8	17.4	32.8	14.8	9.6	82	18	7.3	41.8	50.9	29.5	1.3	539.3	18637	42836	518.2	4.8	8.7	6.6	15.2	34.5	43.6	42.1	37.9	4.2	473.7	0.2	16	20.1	25.2	38.6	138.7	26.4	28.3	8.8	10	7.6	6.1	8.7	151679	152069	46560	40736	46991	36208	11114	15546	21743	26143	11363	17804	9283	10504		250
Schleswig-Holstein	6	Pl�n � Neum�nster	92	1302	219.8	206.8	5.9	168.8	-4.9	21	16.4	7.3	10.1	35.8	18.3	12.1	89.2	10.8	5.6	54.1	40.3	53	2.4	501.9	20395	25983	673.6	4	11.6	7.9	18.5	39	34.6	37.5	41.6	6.7	312.4	1.7	22.5	29.1	17.6	29.1	86.8	26.2	22.1	6.9	7.5	6.4	4.4	7.7	130489	130514	53109	43778	37728	31013	7009	8503	11736	16350	9379	16481	10223	11161		479
Schleswig-Holstein	7	Pinneberg	49	664.3	307.5	281.5	8.4	462.9	-2.3	13.1	16.8	7.2	10.7	37.4	16.7	11.2	85	15	6.4	40.9	52.7	52.8	6	484.6	23766	26342	651.9	2.1	11	6	14.8	40.1	39.1	40.2	48.5	7.2	290.2	2.3	29.5	29	17.2	22	67.7	28.8	34.6	5.2	5.6	4.8	3.3	6.4	186095	186372	73816	63863	56460	42729	11270	13111	15379	21336	14441	24735	14729	15977		446
Schleswig-Holstein	8	Segeberg � Stormarn-Mitte	95	1333.4	313.2	294.9	5.8	234.9	-1.6	9.2	17.1	6.9	10.5	37.9	17	10.5	86.7	13.3	5.8	44.1	50.1	54.6	3.1	469.6	22791	29135	712.1	2	10.4	6.2	16.7	41.2	35.9	47.5	48.3	7.3	333.4	1.1	27.8	29.3	17.5	24.3	54.5	28.5	28.3	4.6	4.9	4.2	2.7	5.1	191772	191945	78824	66367	52434	43027	10838	13237	16004	21010	15617	26043	15682	17166		463
Schleswig-Holstein	9	Ostholstein � Stormarn-Nord	49	1533.3	219.3	209.9	4.3	143	-6.5	13.2	15	6.7	9.1	36.1	20	13.1	91.6	8.4	6.1	57.6	36.3	55.9	4.7	551.1	21962	23354	719.1	3	10	9.8	19.4	41.3	29.4	33.4	51.1	7.3	300.8	1.5	21	31.9	12.3	33.4	62.6	24.9	20.2	6.2	6.6	5.7	3.7	7.4	137289	137295	56996	48898	42232	33764	6062	8303	9539	13493	10047	18147	10790	11782		301
Schleswig-Holstein	10	Herzogtum Lauenburg � Stormarn-S�d	126	1349.9	311.1	290.6	6.6	230.5	-3.7	16.8	16.8	6.6	10.1	36.9	17.3	12.3	87.3	12.7	6.8	44.1	49	55.6	2.8	476.3	23628	24859	701.4	2	9.2	6.8	16.3	39.1	37.9	43.1	45.9	6.8	285.6	1.3	28.3	28.4	15.5	26.5	59.5	27.8	28.7	4.8	5.1	4.5	3.2	5.5	191765	191971	75737	66031	52171	42815	9785	12480	18688	20826	15775	26163	17435	18792		492
Schleswig-Holstein	11	L�beck	28	406.3	235.3	216.5	8	579.2	-4.3	12.2	15.4	8.2	13.1	34.8	16.7	11.8	83.5	16.5	8.1	49	42.9	33.1	2.7	527.7	19238	36117	525.8	4.8	9.2	9.5	19.6	37.2	33.8	38.5	39.6	5.5	415.8	0.2	23.4	24.8	21	30.7	127	26.1	22.5	8.7	9.4	8	5.7	9	128733	129794	45432	38263	43578	32919		12213	16785	16568	8312	14097	11137	11539		351
Mecklenburg-Vorpommern	12	Schwerin � Ludwigslust-Parchim I � Nordwestmecklenburg I	132	3628.1	270.9	254.6	6	74.7	-3.1	26.8	15.7	5.5	12.9	36.6	17.8	11.4	95.3	4.7	3.8	19.2	77	39.5	2.2	534.8	18008	25884	634.6	1.2	7.7	8.9	11.1	40.2	39.8	65.1	40.7	9.2	385.1	2.7	24.6	20.5	17.8	34.5	97.9	24.3	16.3	7.8	8.5	7	8.1	7.9	155102	155411	49733	51083	34267	28947	26655	25929	5837	6606	7470	9879	24764	25692	1515	1700
Mecklenburg-Vorpommern	13	Ludwigslust-Parchim II � Nordwestmecklenburg II � Landkreis Rostock I	125	3924.5	248.8	241.3	3	63.4	-5	9.4	14.7	4.4	11.6	37.2	19.9	12.2	96.4	3.6	3.2	18.4	78.4	46.6	3.3	538.1	18081	20937	697.4	0.4	7.4	8.7	13	45	33.3	65.2	40.3	9.9	300.7	4.6	31.3	23.3	11.1	29.7	79.6	23.5	9.9	7.1	7.7	6.4	5.7	8.2	144838	145111	43453	48841	34705	25029	23433	24409	5858	5521	8290	9008	25262	25688	1264	1642
Mecklenburg-Vorpommern	14	Rostock � Landkreis Rostock II	37	993	271.6	261.2	3.8	273.5	-1.4	9.9	14.3	6.6	16.2	33.6	17.5	11.9	94.5	5.5	3.1	11.5	85.4	23.8	2.7	559.3	16879	31845	510.2	1.2	7	9.2	9.8	37.9	43.1	71.1	39.1	5.8	398.9	0.9	17.3	24.2	22.7	34.9	111.9	23.5	15.1	8.9	10	7.6	8.2	9.3	162239	162322	47923	49433	29056	25650	40202	33575	8333	10229	7368	10661	23785	25171		907
Mecklenburg-Vorpommern	15	Vorpommern-R�gen � Vorpommern-Greifswald I	116	3466.1	292.3	282.3	3.4	84.3	-4.4	11.1	14.1	5.7	13.4	35.6	18.7	12.5	96.7	3.3	2.6	15.3	82	36.2	4.4	574.6	17287	20753	630.8	0.9	7	7.7	16.1	45.1	31.1	64	45.3	8.2	329.7	3.1	16.5	30.2	13.7	36.5	106.6	23.2	9.1	11.9	13.1	10.6	8.7	12.9	167662	167412	73746	55110	19515	20405	26650	30107	5081	8498	5229	11490	32173	32881	976	1368
Mecklenburg-Vorpommern	16	Mecklenburgische Seenplatte I � Vorpommern-Greifswald II 	161	4950.8	273.3	264	3.4	55.2	-6.1	8.2	14.4	4.4	11.4	36.8	20	13.1	96.7	3.3	3.1	19	77.9	41.6	2.3	568	16955	21751	636.3	0.7	7.5	8.1	14.4	42.7	34.7	64.7	39.4	8	346	3.1	19.9	24.2	15.8	37	117.3	22.2	8.1	11.7	13	10.3	10.6	12.8	154628	154813	48269	51789	21493	19064	29462	27246	3898	4068	8909	8659	36273	35595	2834	3148
Mecklenburg-Vorpommern	17	Mecklenburgische Seenplatte II � Landkreis Rostock III	184	6250.3	255.6	249.6	2.3	40.9	-6.3	8.5	14.8	4.2	11	37.8	19.1	13	97.4	2.6	4	20	76.1	45.7	2.1	551.9	17802	22923	676.3	0.7	7.4	8.1	12.9	45.4	33.6	66.7	41.6	8.8	336.6	3.8	22.3	26.9	13.9	33.1	106.2	22.2	8.7	10.2	11.1	9.2	8.2	11.3	142376	142441	53538	51007	22401	20594	24728	24102	4739	4592	6633	8198	26199	27382	1388	1643
Hamburg	18	Hamburg-Mitte	1	117.7	350.1	278.4	20.5	2974.2	1.3	11.2	16.2	7.9	16.5	35.8	14.1	9.6	71.7	28.3	10.8	24.3	64.9	10.6	4	521	23596	59958	492.2	2.2	9.2	5.5	16.5	22.9	55.1	44.1	60.4	4.9	526.6	0.1	15.7	27.6	33.1	23.5	106.9	26.4	35.6	7.1	7.7	6.5	4.6	8	174015	174293	42149	40909	53795	41551	24083	26109	22368	25164	11202	16255	12728	13940	316	348
Hamburg	19	Hamburg-Altona	1	78.8	260.3	222.8	14.4	3302.5	1.2	11.2	16.2	7.9	16.5	35.8	14.1	9.6	71.7	28.3	9.1	32	58.9	24.7	4	521	23596	59958	492.2	2.2	9.2	5.5	16.5	22.9	55.1	44.1	60.4	4.9	529.9	0.1	15.7	27.6	33.1	23.5	106.9	26.4	35.6	7.1	7.7	6.5	4.6	8	144929	145226	37575	36139	41947	29680	19704	22766	20817	26036	12482	16306	7425	8028		150
Hamburg	20	Hamburg-Eimsb�ttel	1	49.6	252.9	223.2	11.7	5096.1	1.2	11.2	16.2	7.9	16.5	35.8	14.1	9.6	71.7	28.3	9.2	30.4	60.4	25.7	4	521	23596	59958	492.2	2.2	9.2	5.5	16.5	22.9	55.1	44.1	60.4	4.9	528.3	0.1	15.7	27.6	33.1	23.5	106.9	26.4	35.6	7.1	7.7	6.5	4.6	8	154730	155203	44416	41826	48920	34575	16123	19290	23220	26372	10537	17463	8777	9138		184
Hamburg	21	Hamburg-Nord	1	114.9	279.8	252.9	9.6	2435.9	1.1	11.2	16.2	7.9	16.5	35.8	14.1	9.6	71.7	28.3	8.7	32.8	58.5	33.6	4	521	23596	59958	492.2	2.2	9.2	5.5	16.5	22.9	55.1	44.1	60.4	4.9	533.4	0.1	15.7	27.6	33.1	23.5	106.9	26.4	35.6	7.1	7.7	6.5	4.6	8	177363	177874	59441	55737	54695	38150	13277	16720	24065	25584	14911	24652	9701	10963		180
Hamburg	22	Hamburg-Wandsbek	1	78.9	314.7	277.2	11.9	3987.9	1.3	11.2	16.2	7.9	16.5	35.8	14.1	9.6	71.7	28.3	9.2	28.9	61.9	26.2	4	521	23596	59958	492.2	2.2	9.2	5.5	16.5	22.9	55.1	44.1	60.4	4.9	526.3	0.1	15.7	27.6	33.1	23.5	106.9	26.4	35.6	7.1	7.7	6.5	4.6	8	170867	171301	50822	49482	59086	45542	15673	16847	12112	17773	12007	17621	16208	16732	399	425
Hamburg	23	Hamburg-Bergedorf � Harburg	1	315.3	329.5	270.6	17.9	1044.9	1.2	11.2	16.2	7.9	16.5	35.8	14.1	9.6	71.7	28.3	11.3	31.5	57.2	27.6	4	521	23596	59958	492.2	2.2	9.2	5.5	16.5	22.9	55.1	44.1	60.4	4.9	529.4	0.1	15.7	27.6	33.1	23.5	106.9	26.4	35.6	7.1	7.7	6.5	4.6	8	153768	154221	43274	42219	53446	40364	16382	17344	11903	15442	8039	13313	16688	17710	530	512
Niedersachsen	24	Aurich � Emden	25	1396.3	239.9	227.3	5.3	171.8	-4.4	12.1	17	8.4	11	35.3	17.8	10.5	91.2	8.8	6.2	70.1	23.6	65.2	4.7	509.9	18428	29758	687.4	5.6	11.6	7.6	15.4	49.7	27.3	35.3	39	6.1	385.9	1.2	32.5	25.3	14.6	26.4	86.7	25.8	18.3	7.8	8	7.5	3.9	8.4	139584	141071	38531	39552	69231	53353	9403	10142	9787	10503	6882	10079		12877		357
Niedersachsen	25	Unterems	56	2578.9	314.5	285.8	9.1	122	-2.2	13.8	18.2	8.5	12	36.2	15.7	9.4	86.6	13.4	37.7	43.4	18.9	69.7	5.8	446.3	18302	31105	714.8	7.1	11.5	7	14	56	22.9	35	41	7	334.8	1.9	33.1	23.3	15.6	26.2	55.5	23.8	22.6	5	5	5	2.4	5.4	174789	174952	87406	74173	48959	48194	7726	9459	8255	10258	7758	13629	13387	14620		421
Niedersachsen	26	Friesland � Wilhelmshaven � Wittmund	28	1371.1	231.1	220.4	4.6	168.5	-5.3	14.1	15.6	8.1	10.3	34.2	19.1	12.7	90.1	9.9	9	56.7	34.3	52	4.2	549.1	18657	28174	702.3	5.7	10.7	4.6	16.9	47.7	30.9	31.5	38.4	6.3	315.7	0	0	23.9	15	36.7	91.3	24.9	18.8	8.2	8.7	7.6	2.8	9.1	137343	137596	44537	45098	54504	42207	8127	9738	7542	9984	8074	12958	11392	12490		389
Niedersachsen	27	Oldenburg � Ammerland	7	831.4	285.3	266.8	6.5	343.1	-1.7	17	16.4	8.7	13.3	35.3	16.1	10.1	86.1	13.9	11.9	52.1	35.9	50.1	5.1	515.5	19758	34315	660.2	6.9	11.4	5.2	13	43.1	38.7	42.3	45.3	6.7	428.7	2.2	18.6	25	21.7	32.4	86.2	27.3	28.1	6.2	6.8	5.5	3.4	6.5	174170	174681	52598	53417	63235	45514	14081	16351	19827	21821	10635	18136	11592	12625		336
Niedersachsen	28	Delmenhorst � Wesermarsch � Oldenburg-Land	25	1946.8	294.2	270.4	8.1	151.1	-3.7	16.3	16.9	7.9	10.5	36.7	17.1	10.9	84.9	15.1	11.1	51	37.9	59	2.5	478.4	20248	23286	696.9	4.1	10.9	5.2	15.8	54.6	24.3	36.1	38.3	6.9	282.3	2	34.9	24.2	12.5	26.3	88.5	28.6	30.7	6.6	6.5	6.7	3.6	7.1	168228	168819	57390	56526	55326	47622	10262	11567	12933	13525	15208	17076	15122	16392		449
Niedersachsen	29	Cuxhaven � Stade II	46	2573.6	234.7	222.5	5.2	91.2	-5.2	12.2	16.6	7.1	9.8	35.7	19	11.9	89	11	6.3	62	31.7	63.5	4.7	508.9	20649	21469	740.4	4.5	10.4	4.2	16.5	55.3	24	40.4	35	5.7	236.1	3.7	25.9	26.5	11.8	32.1	70.9	27.4	23.7	5.8	6.1	5.5	3.5	6.1	140293	140719	59930	54163	43077	38923	8121	9121	8491	9709	6984	11483	11862	12650		396
Niedersachsen	30	Stade I � Rotenburg II	60	1969.2	252	234.4	7	128	-2.1	12.9	17.5	8	11.4	36.5	16.4	10.2	86.9	13.1	5.6	57.5	36.9	59.4	4.6	470.1	21075	27727	755.9	6.2	12.1	4.6	12.5	55.1	27.8	38.5	39.9	6.1	311.4	2.7	29.2	25.2	13.8	29	65.4	27.1	23.3	5.3	5.4	5.1	3.4	5.6	151852	152195	67463	59229	42829	37361	7994	9564	10613	12511	8797	14538	12590	13513		555
Niedersachsen	31	Mittelems	48	2351.7	308.2	278.9	9.5	131	-1.4	11.4	18.4	8.3	11.8	35.9	15.7	9.9	81.2	18.8	49.2	31.8	18.9	68.9	7.6	436.2	18813	32445	718.8	7.1	12	6.4	13.6	54	26.1	37.4	41.9	7.2	378.9	1.7	38.3	21.9	14.1	23.9	51.4	27	29.2	3.6	3.7	3.6	1.7	3.9	178624	178852	95815	88310	47107	41983	6813	8167	8900	10803	10089	16181	8949	9701		285
Niedersachsen	32	Cloppenburg � Vechta	23	2231.1	302.6	275.1	9.1	135.6	1.6	11.7	20.4	9.7	13	35.7	13	8.3	76.5	23.5	62.5	19.6	17.9	66	7.7	400.7	20024	36396	720.2	8.1	12.8	5.1	14.3	55.1	25.5	41.3	46.9	8.9	426	3.7	43.1	20.2	12.4	20.7	60.5	30.1	37.2	4.7	4.7	4.8	2.3	6	162119	162516	93545	86301	32997	28870	6640	7145	7034	8207	8306	15298	12683	13145		308
Niedersachsen	33	Diepholz � Nienburg I	60	2487.6	244.7	229.3	6.3	98.4	-4.4	16.7	16.7	7.5	10.3	37.3	16.8	11.4	86.6	13.4	9.8	58.4	31.8	65.6	3	460.8	21380	26806	770.3	3.6	11.4	3.3	11.5	56.9	28.3	38.4	43.7	6.9	313.4	2.1	32.6	28.2	12.5	24.5	61.6	29.4	28.1	4.5	4.6	4.4	3.2	4.5	146818	147278	65465	55833	40102	37505	7759	8951	11252	11992	10285	15515	11955	12434		366
Niedersachsen	34	Osterholz � Verden	22	1438.8	248.2	233.7	5.9	172.5	-2.6	16.7	17.2	7.3	10.1	36.8	17.7	10.7	85.7	14.3	6.6	55	38.4	65.1	3.3	461.1	22019	23523	728.1	3.7	10.8	4.3	11.4	49.3	34.9	39.4	39.7	6	282.4	2	28.6	28.8	13.3	27.3	53.9	28.8	27.9	4.4	4.6	4.2	2.5	4.2	151768	151798	59560	53035	48505	40047	10714	11055	10146	14052	8273	13464	12995	14675		354
Niedersachsen	35	Rotenburg I � Heidekreis	45	2725	214.9	199.6	7.1	78.9	-3.4	26.1	17.3	8.2	11.1	35.9	16.5	11.1	87.2	12.8	6.8	61.7	31.5	59.3	2.6	474.3	19984	28727	766.1	5.6	11.9	6.2	13.8	51.1	28.9	35.3	40.3	6.8	331	2.1	26.5	27.2	10.8	33.4	62.4	25.9	20.6	5.7	5.9	5.5	2.9	6	126097	126104	45510	47558	51938	34211	5219	7422	6053	10068	5659	10699	10331	11671		447
Niedersachsen	36	Harburg	42	1245	248.1	232.3	6.4	199.3	-1.7	13.3	17.2	7.1	10	37.8	17.1	10.8	88.3	11.7	6.4	44.8	48.8	62.5	4.8	475.6	24050	21188	754.3	3.5	10.6	2.3	10.5	51.9	35.3	49	48.5	6.5	238.6	2.3	22	34.5	15	26.3	48.9	29.4	27.6	4.2	4.4	4	1.8	5.5	160512	160855	65223	57815	44017	35377	8638	10117	14565	16410	10458	18839	14826	16047		358
Niedersachsen	37	L�chow-Dannenberg � L�neburg	70	2544.4	230.8	216.5	6.2	90.7	-3.2	20.5	17	8.2	11.5	36.3	16.5	10.5	87.9	12.1	6.8	52.6	40.6	54.5	2.8	493.7	19347	23548	673.7	5.1	10.8	4	13.1	46.3	36.6	42.7	40.6	6.1	300.5	2.2	24.6	22.9	15.9	34.4	74.3	25.9	21.1	6.3	7	5.6	4.3	6.9	139618	140139	46740	43861	39169	32865	11729	12705	20604	18906	9245	12959	12131	12498		395
Niedersachsen	38	Osnabr�ck-Land	29	1916.1	265.6	241.8	9	138.6	-1.7	27	18.7	8.5	11.3	36.3	15	10.2	80.6	19.4	37	40.7	22.3	59.5	3.9	430	21041	26395	735.2	2	10.2	5.8	13.3	57.7	23.1	38.6	40	7.1	343.1	1.8	39.8	22.3	14.2	21.9	44.6	30.5	24.8	3.6	3.6	3.5	1	4.7	150076	150195	68379	60737	42438	38529	7908	9156	11613	12346	9576	14603	9934	10940		322
Niedersachsen	39	Stadt Osnabr�ck	6	325.3	254.9	232.4	8.8	783.6	-1.2	22.5	15.7	10.2	14.4	34.2	14.8	10.7	77.4	22.6	42	30.9	27.2	42	2.7	504.6	20468	38647	627.3	9.9	11.7	6.2	9	45.8	39.1	42.3	43.8	6.1	485.5	0.5	25	24.3	20.8	29.4	87	27.5	35.3	6.2	6.7	5.8	3.2	6.7	149408	151169	60185	53977	47279	37336	12521	12759	15108	18353	13353	14309		9499		211
Niedersachsen	40	Nienburg II � Schaumburg	60	1575.1	246.1	230.3	6.4	156.3	-6.4	11.2	16.2	7.4	10	36.5	17.5	12.4	84.7	15.3	9.4	59.9	30.7	58.9	1.4	496	20359	24331	741.6	5.1	11.2	4.1	13.9	46.9	35.1	35.4	38.2	6.6	291.2	1.3	31.6	22.7	11.9	32.5	71.2	27.4	22.7	5.9	6.3	5.5	5	5.9	145477	145654	59128	49896	47615	43307	6530	8289	11206	11831	6539	12430	13292	14945		406
Niedersachsen	41	Stadt Hannover I	1	112.8	257.3	217	15.7	2281	-0.1	15.2	15.3	9.1	16.9	34.4	14.1	10	75.9	24.1	13.7	34.4	51.9	27	2	551.2	20136	40552	570.6	4.1	9.9	4.8	11.9	43.5	39.9	44.9	41.8	5.6	432.1	0.3	20	23.1	27	29.6	107.8	27.4	36.2	7.2	7.7	6.6	4.5	7.4	133415	133849	39487	36401	47549	36645	9579	12470	12102	16292	8734	13658	11364	12226		244
Niedersachsen	42	Stadt Hannover II	1	91.3	274.9	230.9	16	3009.3	-0.2	15.2	15.3	9.1	16.9	34.4	14.1	10	75.9	24.1	13.6	35	51.4	23.4	2	551.2	20136	40552	570.6	4.1	9.9	4.8	11.9	43.5	39.9	44.9	41.8	5.6	434.5	0.3	20	23.1	27	29.6	107.8	27.4	36.2	7.2	7.7	6.6	4.5	7.4	147624	148091	42713	36203	49744	37964	13775	17823	16486	22079	8165	14735	10590	11241		186
Niedersachsen	43	Hannover-Land I	8	1131.8	303	276.1	8.9	267.8	-3.3	16.8	17.2	7.1	10.4	36.4	17.1	11.8	75.9	24.1	12.3	45.9	41.8	54.7	2.6	484.6	20136	40552	570.6	4.1	9.9	4.8	11.9	43.5	39.9	44.9	41.8	5.6	432.3	0.3	20	23.1	27	29.6	107.8	27.4	36.2	7.2	7.7	6.6	4.5	7.4	180096	180376	72282	62828	59552	48783	8958	10890	10725	14335	9325	18869	17217	18366		406
Niedersachsen	44	Celle � Uelzen	48	2999.4	271.1	255.3	5.8	90.4	-5.2	13.9	16.6	7.4	10.5	35.4	17.9	12.2	86.6	13.4	7.5	58.7	33.8	59.2	2.1	502.2	19546	26041	709.8	6.4	10.9	4.4	13.3	54.1	28.2	34.9	37.1	6.4	313.4	2	27.3	22.2	11.6	37	77	27.3	21.3	7	7.8	6.2	4.3	7.4	160796	161006	68655	58858	48189	40899	7901	9297	9266	12478	8830	16334	16199	17554		438
Niedersachsen	45	Gifhorn � Peine	35	1814	280.1	263.7	5.9	154.4	-2.5	10.9	17.8	7.4	10.6	37.5	16.2	10.4	82.7	17.3	9.8	53.6	36.6	65.1	3.2	461	20407	19304	707.1	2.8	10.4	4.3	11.8	51.7	32.2	37.8	28.6	5	233.8	1.1	28.8	22.5	17.7	29.9	61.9	28.7	23.4	5.2	5.3	5.1	3.6	5.1	167373	167573	60345	56567	63294	50445	8827	10166	9342	12094	8062	14004	16501	18289		463
Niedersachsen	46	Hameln-Pyrmont � Holzminden	42	1799.5	237.5	220.2	7.3	132	-7.5	10.6	15.3	7.4	9.9	35.1	18.4	13.9	84.2	15.8	11.4	58.2	30.4	56.2	0.8	537.1	20459	29652	717	5.6	10.5	6.2	15.1	49.1	29.5	35.9	37.2	6.7	326.6	1.2	34.2	18	15.6	30.9	86.7	26.8	26.2	6.9	7.7	6.1	5	6.9	138469	138673	46181	44424	54130	44190	8220	9130	7511	9995	8034	12531	13143	14054		411
Niedersachsen	47	Hannover-Land II	12	954.9	309.3	283.5	8.3	323.9	-3.6	15.5	16.9	7.1	10.2	36.5	17.3	11.8	75.9	24.1	11.9	47.9	40.2	53.6	2.2	486.7	20136	40552	570.6	4.1	9.9	4.8	11.9	43.5	39.9	44.9	41.8	5.6	431.6	0.3	20	23.1	27	29.6	107.8	27.4	36.2	7.2	7.7	6.6	4.5	7.4	186766	187016	65815	58984	69104	55161	10124	12305	10693	16290	10092	17925	17570	19392		508
Niedersachsen	48	Hildesheim	40	1206	277.1	258.1	6.8	229.7	-5.1	14	15.8	8.5	10.8	35.7	17.1	12.2	84.7	15.3	23.7	47.5	28.8	51.6	1.5	509.1	19957	25108	652	5.8	11.3	6.9	12.7	45.1	35.3	36.7	35	6.2	319.2	0.5	31.9	20.6	13	34.1	79.6	26.3	25.9	6.7	7.5	5.8	3.9	7.2	167861	168297	60457	54871	62448	52077	8502	10932	12691	14806	9330	13876	14433	15695		468
