Land	Code	Wahlkreis-Name	Gemeinden am 31.12.2015 (Anzahl)	Fl�che am 31.12.2015 (km�)	Bev�lkerung am 31.12.2015 - Insgesamt (in 1000)	Bev�lkerung am 31.12.2015 - Deutsche (in 1000)	Bev�lkerung am 31.12.2015 - Ausl�nder (%)	Bev�lkerungsdichte am 31.12.2015 (Einwohner je km�)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Geburtensaldo (je 1000 Einwohner)	Zu- (+) bzw. Abnahme (-) der Bev�lkerung 2015 - Wanderungssaldo (je 1000 Einwohner)	Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 18-24 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 25-34 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 35-59 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 60-74 (%)	Alter von ... bis ... Jahren am 31.12.2015 - 75 und mehr (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - ohne Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Migrationshintergrund am 09.05.2011 - mit Migrationshintergrund (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - R�misch-katholische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Evangelische Kirche (%)	Zensus 2011, Bev�lkerung nach Religionszugeh�rigkeit am 09.05.2011 - Sonstige, keine, ohne Angabe (%)	Zensus 2011, Wohnungen in Wohngeb�uden am 09.05.2011 - Eigent�merquote	Baut�tigkeit und Wohnungswesen - Fertiggestellte Wohnungen 2014 (je 1000 Einwohner)	Baut�tigkeit und Wohnungswesen - Bestand an Wohnungen am 31.12.2015 (je 1000 Einwohner)	Verf�gbares Einkommen der privaten Haushalte 2014 (� je Einwohner)	Bruttoinlandsprodukt 2014 (� je Einwohner)	Kraftfahrzeugbestand am 01.01.2016 (je 1000 Einwohner)	Absolventen/Abg�nger beruflicher Schulen 2015	Absolventen/Abg�nger allgemeinbildender Schulen 2015 - insgesamt ohne Externe (je 1000 Einwohner)	ohneHauptschule	Hauptschule	MittleremAbschluss	mitAbitur	Kindertagesbetreuung: Betreute Kinder am 01.03.2016 (je 1000 Einwohner)	Unternehmensregister 2014 - Unternehmen insgesamt (je 1000 Einwohner)	Unternehmensregister 2014 - Handwerksunternehmen (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - insgesamt (je 1000 Einwohner)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Land- und Forstwirtschaft, Fischerei (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Produzierendes Gewerbe (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - Handel, Gastgewerbe, Verkehr (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �ffentliche und private Dienstleister (%)	Sozialversicherungspflichtig Besch�ftigte am 30.06.2016 - �brige Dienstleister und 'ohne Angabe' (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 -  insgesamt (je 1000 Einwohner)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - nicht erwerbsf�hige Hilfebed�rftige (%)	Empf�nger(innen) von Leistungen nach SGB II am 31.12.2016 - Ausl�nder (%)	Arbeitslosenquote M�rz 2017 - insgesamt	Arbeitslosenquote M�rz 2017 - M�nner	Arbeitslosenquote M�rz 2017 - Frauen	Arbeitslosenquote M�rz 2017 - 15 bis unter 20 Jahre	Arbeitslosenquote M�rz 2017 - 55 bis unter 65 Jahre	Total	Total2	CDU	CDU2	SPD	SPD2	LINKE	LINKE2	GRUENE	GRUENE2	FDP	FDP2	AFD	AFD2	NDP	NDP2
Baden	267	Heilbronn	32	904.9	351.7	294.8	16.2	388.7	-0.8	18.1	17.4	8.4	13.1	36.1	15	10	68.2	31.8	27	39.6	33.3	57.9	3.4	463.5	29506	47955	732.7	5.5	12.3	3.8	23	48.6	24.7	39.7	46.4	8.6	462.8	0.5	37.8	21.2	19.9	20.6	48.7	26.7	44	4.2	4.2	4.1	1.9	5	183110	183286	64591	58755	42455	32489	8448	10520	14920	19016	17566	23872	28575	30089		835
Baden	268	Schw�bisch Hall � Hohenlohe	46	2260.8	301.8	274.6	9	133.5	-0.5	13.8	17.7	8.4	12.6	36.3	15.2	9.8	75.8	24.2	23.7	52.9	23.4	63.6	3.7	457.5	21905	39916	842.2	5.6	11.7	4.6	23.8	48.2	23.5	35.7	44.5	8.9	445.8	0.7	46	22.3	13.2	17.7	30.6	25	33.4	3.1	3.1	3.1	1.4	4.5	169860	169795	68717	58215	31406	27472	7314	9594	21468	20512	14252	21629	22894	24827		783
Baden	269	Backnang � Schw�bisch Gm�nd	34	838.7	241.5	213.6	11.6	288	-2.2	12.7	17.2	8.4	11.6	36.2	16	10.6	76.8	23.2	34.6	36.1	29.2	61.6	3	469.5	22927	35841	744	5.2	12.1	4.2	19.2	49.3	27.3	37.4	45.8	7.8	371.1	0.5	43.8	18.1	13.8	23.8	39.9	26.7	37.6	3.3	3.4	3.2	1.1	4.3	134801	135311	55595	47588	26971	22298	7581	7999	15216	15482	10882	16717	17788	19438	489	462
Baden	270	Aalen � Heidenheim	32	1644.7	303.8	270.5	11	184.7	-1.5	18	17.6	8.4	12	35.4	15.6	11	76.8	23.2	46.7	30.6	22.6	62.4	2.6	462	22109	35507	744.7	5.2	12.9	4.8	21.2	46.6	27.4	37.3	40.9	7.4	389.7	0.4	46.8	17.1	13.4	22.4	44.1	27.6	35.2	4.1	4.1	4	1.4	5.2	167586	168216	77752	64217	35164	31341	8678	9233	16123	18427	10218	17707	18447	20616	822	655
Baden	271	Karlsruhe-Stadt	1	173.5	307.8	252.3	18	1774.2	-0.1	25	14.6	10.8	17.5	33.5	13.8	9.8	69.5	30.5	31.8	30	38.2	30.4	2.7	506.5	21417	59775	514.6	5.4	9.2	6.7	11.9	38.5	42.9	42.4	47.9	5.9	577.7	0.1	15.6	21.7	35	27.6	60	24.7	30.6	4.7	4.9	4.5	3	5.6	160506	160911	45821	44776	37924	27044	12155	15452	28268	29408	13829	19251	16073	16741		188
Baden	272	Karlsruhe-Land	21	718.4	281.1	250.1	11	391.3	-2.1	11.3	16.5	7.6	11.2	36.9	16.8	11	79.3	20.7	36.3	35.9	27.8	60.5	2.4	466	22619	33358	723.9	3.4	10.6	4.1	16.8	51.5	27.7	40	45.1	8.5	342.5	0.4	36.3	20.8	23.1	19.4	33.3	26.5	37.2	3.3	3.4	3.1	1.7	4	166740	167126	67396	59137	32886	28591	7627	9119	19076	20489	15138	21441	19512	20887		309
Baden	273	Rastatt	24	879	281.6	245.8	12.7	320.4	-2.7	15.4	16	7.5	11.4	36.5	16.9	11.7	75.7	24.3	54	18.9	27	55.7	2.9	487.7	23075	40785	751.5	4.7	11.2	4.6	20	47.8	27.5	35.6	45.3	6.9	423.6	0.5	45.9	18.3	15.6	19.7	41	26	38.4	3.5	3.5	3.5	1.7	4.7	154890	155248	68259	58798	29486	26374	7123	8369	16954	17766	11150	17847	18849	19701		313
Baden	274	Heidelberg	12	305.6	317.1	269.3	15.1	1037.8	0	11	15.1	10.4	16.1	33.7	14.8	9.9	74.3	25.7	28.6	34.3	37	39.4	4.1	500.9	22796	41324	577.6	4.5	9.4	3.3	13.2	39.8	43.7	41.1	47.1	5.8	440.2	0.2	21	17.6	25.5	35.7	44.9	25.3	32.9	4.3	4.8	3.8	2	5.3	177570	177832	58019	53138	46219	32806	10751	14812	29664	30491	11769	22556	15803	16850		303
Baden	275	Mannheim	1	145	305.8	236.6	22.6	2109.4	-0.6	19.9	15.4	10	16.5	34.3	14.3	9.6	63.6	36.4	29.8	26.5	43.7	29.7	2.5	540	19846	60265	549.8	4.3	9.7	6.1	10.5	48.8	34.5	43.4	47.3	6.1	610.5	0.2	28.1	22.4	27.2	22.1	97.4	27.1	39	5.7	5.9	5.5	1.7	6.8	142574	142723	41812	38746	39795	30309	10493	12989	18739	18803	9835	16050	17833	18309		381
Baden	276	Odenwald � Tauber	45	2430.6	275.1	253.3	7.9	113.2	-3.4	14.9	16.4	8.1	11.3	36.2	16.7	11.2	81.9	18.1	50.9	31.8	17.3	65.1	2.1	473.7	21164	31338	803	6.8	12.2	4.3	23.6	46.7	25.4	33.5	41.6	8.1	361.8	0.6	44.6	17.3	10.5	27	33.7	24.3	32.2	3.6	3.7	3.5	1.8	4.9	161223	161225	75531	64208	30849	27175	8422	8907	11090	13642	11419	17564	21849	22289		654
